"Question","Answer"
"¿Con qué plan y lema llamó Francisco I. Madero a levantarse en armas contra Porfirio Díaz en 1910?","El Plan de San Luis y el lema 'Sufragio Efectivo, No Reelección'"
"¿Cómo se conoce al golpe de estado de 1913 en el que Madero fue asesinado y Victoriano Huerta usurpó la presidencia?","La Decena Trágica"
"El principal objetivo de la lucha de Emiliano Zapata en el sur de México, plasmado en el Plan de Ayala, era...","La restitución de las tierras a las comunidades campesinas ('Tierra y Libertad')"
"¿Quién fue el líder de la poderosa División del Norte, que luchó por causas sociales y laborales en el norte del país?","Francisco 'Pancho' Villa"
"¿Quién fue el líder del ejército Constitucionalista que finalmente derrotó a Villa y Zapata y se convirtió en presidente?","Venustiano Carranza"
"¿Cuál es considerado el principal logro jurídico y social de la Revolución Mexicana, promulgado en 1917 en Querétaro?","La Constitución Política de los Estados Unidos Mexicanos"
"¿Qué artículos de la Constitución de 1917 son los más importantes por su contenido social?","El Artículo 3 (educación laica y gratuita), el 27 (propiedad de la nación sobre la tierra y recursos) y el 123 (derechos laborales)"
"¿Qué conflicto armado (1926-1929) enfrentó al gobierno posrevolucionario con milicias católicas que se oponían a las políticas anticlericales?","La Guerra Cristera"
"¿Qué partido político, fundado en 1929 por Plutarco Elías Calles, gobernó México de forma hegemónica durante 71 años?","El Partido Nacional Revolucionario (PNR), que después se convirtió en PRM y finalmente en PRI"
"¿Cuál fue la política más importante del presidente Lázaro Cárdenas, que consolidó los principios del Artículo 27 constitucional?","La Expropiación Petrolera de 1938"
"¿Qué modelo económico, basado en la producción de bienes nacionales para reducir importaciones, impulsó el 'Milagro Mexicano'?","El modelo de Industrialización por Sustitución de Importaciones (ISI)"
"¿Qué suceso trágico de 1968 marcó un punto de quiebre en la relación entre el Estado autoritario y la sociedad civil?","La masacre de estudiantes en la Plaza de las Tres Culturas de Tlatelolco"
"¿Qué factores provocaron el fin del 'Milagro Mexicano' en la década de 1970?","El agotamiento del modelo ISI, el endeudamiento externo y las crisis petroleras"
"¿Qué desastre natural en 1985 evidenció la ineficacia del gobierno y provocó un despertar masivo de la sociedad civil en la Ciudad de México?","El terremoto del 19 de septiembre"
"En la década de 1990, ¿qué tratado de libre comercio firmó México, marcando un giro hacia una economía neoliberal y de mercado abierto?","El Tratado de Libre Comercio de América del Norte (TLCAN)"
"¿En qué año ocurrió la alternancia política en la presidencia de México, poniendo fin a 71 años de gobierno ininterrumpido del PRI?","En el año 2000, con la victoria de Vicente Fox (PAN)"
