"Question","Answer"
"La frase ""Entre los individuos, como entre las naciones, el respeto al derecho ajeno es la paz"" es de:","Benito Juárez"
"El ferrocarril fue una de las obras más importantes durante el gobierno de:","Porfirio Díaz"
"¿Quién fue el presidente que promulgó las Leyes de Reforma?","Benito Juárez"
"¿En qué período gobernó Porfirio Díaz?","El Porfiriato (1876-1911, con una interrupción de 1880-1884)"
"¿Cuál es la fecha en que se conmemora el inicio de la Revolución Mexicana?","20 de noviembre de 1910"
"El lema de Francisco I. Madero durante su campaña presidencial fue:","Sufragio efectivo, no reelección"
"¿Quién fue el líder revolucionario conocido como el ""Caudillo del Sur""?","Emiliano Zapata"
"El lema ""Tierra y Libertad"" fue enarbolado por el revolucionario:","Emiliano Zapata"
"¿Quién fue el líder revolucionario que comandó la División del Norte?","Francisco ""Pancho"" Villa"
"¿En qué año se promulgó la Constitución que rige actualmente a México?","1917"
"¿Quién fue el presidente que llevó a cabo la Expropiación Petrolera en 1938?","Lázaro Cárdenas"
"¿Quién fue el fundador de la Secretaría de Educación Pública (SEP)?","José Vasconcelos"
"El movimiento estudiantil de 1968 tuvo su culminación en la masacre de:","Tlatelolco"
"¿En qué año México fue sede de los Juegos Olímpicos?","1968"
"El escritor que ganó el Premio Nobel de Literatura en 1990 es:","Octavio Paz"
"¿En qué año entró en vigor el Tratado de Libre Comercio de América del Norte (TLCAN)?","1994"
"El primer presidente de México que no pertenecía al Partido Revolucionario Institucional (PRI) fue:","Vicente Fox Quesada"
"El sismo que devastó la Ciudad de México ocurrió en el año de:","1985"
"¿Quiénes fueron los principales líderes de la Revolución Mexicana?","Francisco I. Madero, Emiliano Zapata, Francisco Villa, Venustiano Carranza"
"¿Cuántos estados tiene la República Mexicana?","32 (31 estados y la Ciudad de México, que es una entidad federativa)"
"¿Cuál es la ley fundamental de México?","La Constitución Política de los Estados Unidos Mexicanos"
"¿Por cuántos años es electo el presidente de México?","6 años"
"Los tres colores de la bandera mexicana son:","Verde, blanco y rojo"
"¿Qué representa el águila real devorando una serpiente sobre un nopal en el escudo nacional?","La fundación de México-Tenochtitlan"
"¿Cuáles son los tres poderes de la Unión en México?","Ejecutivo, Legislativo y Judicial"
"¿Cuál es la edad mínima para poder votar en México?","18 años"
"La fecha en que se celebra la Independencia de México es el:","16 de septiembre"
"La fecha en que se conmemora la Revolución Mexicana es el:","20 de noviembre"
"La fecha en que se conmemora la Batalla de Puebla es el:","5 de mayo"
"¿Cuál es el nombre oficial de México?","Estados Unidos Mexicanos"
"¿Cuál es el río más largo de México?","Río Bravo"
"¿Cuál es el volcán más alto de México?","Pico de Orizaba (Citlaltépetl)"
"¿Cuál es la península que se encuentra al sureste de México?","Península de Yucatán"
"La Universidad Nacional Autónoma de México (UNAM) fue fundada en el año de:","1910 (refundación como universidad nacional)"
"¿Qué significa la palabra ""México""?","En el ombligo de la luna"
"¿Cuáles son las entidades federativas que componen la frontera sur de México?","Quintana Roo, Chiapas, Campeche y Oaxaca"
"¿Cuál es la capital de México?","Ciudad de México"
"¿Cuáles son los océanos que bordean México?","Océano Pacífico y Océano Atlántico (Golfo de México)"
"¿Quién fue el compositor del himno nacional mexicano?","Jaime Nunó (música) y Francisco González Bocanegra (letra)"
"Pintora mexicana, esposa de Diego Rivera, cuya obra se enfoca en el autorretrato y el sufrimiento.","Frida Kahlo"
"¿Quién es el muralista mexicano más famoso conocido por obras como ""Sueño de una tarde dominical en la Alameda Central""?","Diego Rivera"
"¿Cuál es el baile popular de la región de Jalisco que se baila en pareja al son del mariachi?","Jarabe tapatío"
"¿De qué estado de México es originario el mariachi?","Jalisco"
"¿En qué fechas se celebra el Día de Muertos en México?","1 y 2 de noviembre"
"¿Cuál es la bebida alcohólica más representativa de México hecha a base de agave?","Tequila"
"¿Cuál es el deporte nacional de México por excelencia?","La charrería"
"¿Cuál es la comida mexicana que ha sido declarada Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO?","La gastronomía mexicana en su conjunto"
"¿Quién fue el actor y comediante mexicano conocido como ""Cantinflas""?","Mario Moreno"
"¿Cuál es el nombre del famoso sitio de clavados en Acapulco?","La Quebrada"
"¿Quién fue el arquitecto mexicano que ganó el Premio Pritzker en 1980?","Luis Barragán"
"¿Cuál es la ciudad de Guanajuato famosa por su festival internacional de artes?","Guanajuato (con el Festival Internacional Cervantino)"
"El platillo típico de Puebla, que combina chiles, especias, y chocolate, se llama:","Mole poblano"
"¿Quién fue el compositor mexicano autor de ""Bésame Mucho""?","Consuelo Velázquez"
"¿Cuál es la ciudad mexicana famosa por su producción de plata?","Taxco (Guerrero)"
"¿Quién fue el fotógrafo mexicano más reconocido a nivel mundial?","Manuel Álvarez Bravo"
"¿Cuál es el nombre del cineasta mexicano ganador del Oscar a Mejor Director por ""Roma""?","Alfonso Cuarón"
"¿Qué es el ""papel picado""?","Un adorno tradicional mexicano hecho de papel de china calado"
"¿Quién escribió ""El laberinto de la soledad""?","Octavio Paz"
"El luchador más famoso de México, conocido por su máscara de plata, fue:","El Santo"
"¿Qué se celebra el 24 de febrero en México?","El Día de la Bandera"
"¿Cuál es la flor nacional de México?","La Dalia"
"¿Qué animal es considerado sagrado en la cultura maya y es un felino grande de América?","El jaguar"
"¿Quién fue el autor de la novela ""Pedro Páramo""?","Juan Rulfo"
"¿Qué son los ""voladores de Papantla""?","Una ceremonia ritual de origen prehispánico"
"¿Cuál es el estadio de fútbol más grande de México?","El Estadio Azteca"
"¿Quién fue el pintor y muralista mexicano conocido como el ""Coronelazo""?","David Alfaro Siqueiros"
"¿Qué celebración mexicana involucra romper una piñata llena de dulces?","Las posadas"
"¿Cuál es el principal destino turístico de playa en la península de Yucatán?","Cancún"
"¿Quién es el personaje principal de la tira cómica ""La Familia Burrón""?","Borola Tacuche de Burrón"
"¿En qué estado de la República se encuentra el sitio arqueológico de Monte Albán?","Oaxaca"
"¿Qué es el Cempasúchil?","La flor tradicional del Día de Muertos"
"¿Cómo se le llama a la música popular del norte de México que utiliza acordeón y bajo sexto?","Música norteña"
"¿Quién escribió ""El llano en llamas"" y ""Pedro Páramo""?","Juan Rulfo"
"¿Quién escribió ""La noche de Tlatelolco""?","Elena Poniatowska"
"¿Cuáles son algunas obras famosas de Elena Poniatowska?","Hasta no verte Jesús mío, La noche de Tlatelolco, Nada nadie. Las voces del temblor"
"¿Cómo es la educación en México según la Constitución?","Obligatoria, laica y gratuita"
"¿Cuáles son los símbolos patrios de México?","La Bandera, el Escudo Nacional y el Himno Nacional"
"¿Cuál es el idioma oficial de México?","Español (aunque México es multilingüe con 68 lenguas indígenas reconocidas)"
"¿Cada cuántos años se elige al Presidente de México?","Cada 6 años (sexenio)"
"¿Cuáles son los tres poderes del gobierno mexicano?","Poder Ejecutivo, Poder Legislativo y Poder Judicial"
"¿Qué presidente tomó como lema la ""apertura democrática"" con el fin de legitimar su gobierno?","Luis Echeverría"
"¿En qué año fue la primera elección federal en la que se permitió la presencia de observadores internacionales en México?","1994"
"¿En 1989, Ernesto Ruffo Appel se convirtió en el primer gobernador de un partido de oposición en qué estado?","Baja California"
"¿Qué ente político postuló la candidatura de Cuauhtémoc Cárdenas a la presidencia en 1988?","Frente Democrático Nacional"
"¿Qué son los alebrijes?","Criaturas fabulosas que solo existen en la imaginación, artesanías mexicanas de colores vibrantes"
"¿Cuándo se celebra el Día de Muertos?","1 y 2 de noviembre"
"¿Qué es el Día de la Independencia en México?","16 de septiembre (Grito de Independencia)"
"¿Qué se celebra el 5 de mayo?","La Batalla de Puebla (1862)"
"¿Cuáles son algunos platillos típicos mexicanos?","Tacos, mole, pozole, chiles en nogada, tamales"
"¿Qué bebida tradicional se hace con cacao?","Chocolate (bebida de origen prehispánico)"
"¿Cuál es el origen del maíz en la cultura mexicana?","Es un cultivo originario de México y base fundamental de la alimentación desde tiempos prehispánicos"
"¿Cuáles son las principales zonas arqueológicas de México?","Chichen Itzá, Teotihuacán, Palenque, Monte Albán, Uxmal, El Tajín"
"¿Dónde se encuentra Chichen Itzá?","Yucatán"
"¿Qué cultura construyó Chichen Itzá?","Maya"
"¿Cuáles son los principales productos de exportación de México?","Petróleo, productos manufacturados, productos agrícolas, minerales"
"¿Cuál es la moneda de México?","Peso mexicano"
"¿Quiénes fueron los grandes muralistas mexicanos?","Diego Rivera, José Clemente Orozco, David Alfaro Siqueiros"
"¿Quién fue Frida Kahlo?","Pintora mexicana, esposa de Diego Rivera, conocida por sus autorretratos"
"¿Qué es el mariachi?","Género musical tradicional mexicano originario de Jalisco"
"¿Cuáles son algunos géneros musicales tradicionales de México?","Mariachi, ranchera, norteña, son jarocho, huapango"
"¿Cuándo organizó México los Juegos Olímpicos?","1968 (Ciudad de México)"
"¿Cuántas veces ha organizado México la Copa Mundial de Fútbol?","Dos veces (1970 y 1986)"
"¿Qué es la UNAM?","Universidad Nacional Autónoma de México"
"¿Dónde se firmó la Constitución de 1917?","Querétaro"
"¿Qué presidente promovió la expropiación petrolera?","Lázaro Cárdenas (1938)"
"¿Qué estableció la reforma política de 1977?","1) Tiempos oficiales de radio y televisión para todos los partidos políticos 2) La creación de la Asamblea de Representantes del Distrito Federal 3) La prohibición de la afiliación corporativa a los partidos políticos"
"¿Qué representa cada color de la bandera?","Verde (esperanza), Blanco (unidad), Rojo (sangre de los héroes)"
