"Question","Answer"
"¿Cuáles son los colores de la bandera de México?","Verde, blanco y rojo."
"¿Qué representa el escudo nacional de México?","La leyenda de la fundación de México-Tenochtitlan."
"¿Cuál es el himno nacional de México?","El Himno Nacional Mexicano."
"¿Cuál es la edad mínima para votar en México?","18 años."
"¿Cuál es la moneda oficial de México?","El peso mexicano."
"¿Cuál es el idioma oficial de México?","El español."
"¿Qué es la democracia?","Una forma de gobierno en la que el poder político es ejercido por el pueblo, a través de sus representantes elegidos mediante el voto."
"¿Qué es la soberanía?","El poder que tiene el pueblo para gobernarse a sí mismo y para decidir sobre sus asuntos internos y externos."
"¿Qué son los derechos humanos?","Los derechos que tienen todas las personas por el simple hecho de serlo, y que están garantizados por la Constitución y los tratados internacionales."
"¿Qué es la división de poderes?","La separación de las funciones del gobierno en tres poderes (Ejecutivo, Legislativo y Judicial) para evitar la concentración del poder en una sola persona o institución."
"¿Qué es el federalismo?","Una forma de organización política en la que el poder se divide entre un gobierno federal y los gobiernos de los estados."
"¿Qué es el municipio?","La base de la división territorial y de la organización política y administrativa de los estados."
"¿Qué es la ciudadanía?","La condición que tienen las personas que son miembros de un Estado y que les otorga derechos y obligaciones políticas."
"¿Qué es el voto?","El derecho y la obligación que tienen los ciudadanos de elegir a sus representantes."
"¿Cuál es la capital de México?","La Ciudad de México."
"¿Cuál es el río más largo de México?","El río Bravo."
"¿Cuál es la montaña más alta de México?","El volcán Citlaltépetl o Pico de Orizaba."
"¿Cuál es el océano que baña las costas del este de México?","El Océano Atlántico."
"¿Cuál es el océano que baña las costas del oeste de México?","El Océano Pacífico."
"¿Cuál es la península que se encuentra en el sureste de México?","La Península de Yucatán."
"¿Cuál es el desierto más grande de México?","El Desierto de Chihuahua."
"¿Cuál es el estado más grande de México?","Chihuahua."
"¿Cuál es el estado más pequeño de México?","Tlaxcala."
"¿Cuál es el lago más grande de México?","El Lago de Chapala."
"¿Cuál es el cañón más profundo de México?","El Cañón del Cobre."
"¿Cuál es la selva más importante de México?","La Selva Lacandona."
"¿Cuál es la reserva de la biósfera más grande de México?","La Reserva de la Biósfera El Vizcaíno."
"¿Cuál es el principal productor de plata en el mundo?","México."
"¿Cuál es el principal productor de aguacate en el mundo?","México."
"¿Cuál es la principal fuente de ingresos del país?","El petróleo."
"¿Cuál es la región de México que se caracteriza por su clima cálido y húmedo y su exuberante vegetación?","El sureste."
"¿Cuál es la región de México que se caracteriza por su clima seco y desértico y su escasa vegetación?","El norte."
"¿Cuál es la región de México que se caracteriza por su clima templado y su gran diversidad de paisajes?","El centro."
"¿Cuál es la región de México que se caracteriza por sus playas y su gran atractivo turístico?","La costa."
"¿Quién es el autor de 'El laberinto de la soledad'?","Octavio Paz."
"¿Quién es el autor de 'Pedro Páramo' y 'El llano en llamas'?","Juan Rulfo."
"¿Quién es el autor de 'Cien años de soledad'?","Gabriel García Márquez."
"¿Quién es el autor de 'La región más transparente'?","Carlos Fuentes."
"¿Quién es el autor de 'Como agua para chocolate'?","Laura Esquivel."
"¿Quién es el autor de 'Las batallas en el desierto'?","José Emilio Pacheco."
"¿Quién es el autor de 'Aura'?","Carlos Fuentes."
"¿Quién es el autor de 'La muerte de Artemio Cruz'?","Carlos Fuentes."
"¿Quién es el autor de 'El diosero'?","Francisco Rojas González."
"¿Quién es el autor de 'Canek'?","Ermilo Abreu Gómez."
"¿Quién es el pintor muralista más famoso de México?","Diego Rivera."
"¿Quién es el pintor muralista conocido por sus obras de gran dramatismo y crítica social?","José Clemente Orozco."
"¿Quién es el pintor muralista conocido por sus obras de gran contenido político y social?","David Alfaro Siqueiros."
"¿Quién es la pintora mexicana más famosa, conocida por sus autorretratos y su vida atormentada?","Frida Kahlo."
"¿Quién es el pintor paisajista más importante de México?","José María Velasco."
"¿Quién es el grabador mexicano conocido por sus calaveras y su crítica social?","José Guadalupe Posada."
"¿Quién es el arquitecto mexicano más famoso, conocido por su uso del color y la luz en sus obras?","Luis Barragán."
"¿Quién es el escultor mexicano conocido por sus obras monumentales y su estilo abstracto?","Sebastián."
"¿Quién es el fotógrafo mexicano más importante, conocido por sus imágenes de la vida cotidiana y la cultura mexicana?","Manuel Álvarez Bravo."
"¿Quién es la bailarina de ballet más importante de México?","Elisa Carrillo Cabrera."
"¿Qué es el mariachi?","Un género musical tradicional de México, originario del estado de Jalisco."
"¿Qué es la ranchera?","Un género musical popular de México, que se caracteriza por sus letras sentimentales y su acompañamiento de guitarra y trompeta."
"¿Qué es el son jarocho?","Un género musical tradicional de México, originario del estado de Veracruz, que se caracteriza por su ritmo alegre y su instrumentación de arpa, jarana y requinto."
"¿Qué es el huapango?","Un género musical tradicional de México, originario de la región de la Huasteca, que se caracteriza por su ritmo rápido y su baile zapateado."
"¿Qué es la banda?","Un género musical popular de México, que se caracteriza por su instrumentación de metales y percusión."
"¿Qué es el corrido?","Un género musical narrativo de México, que cuenta historias de personajes y eventos históricos o legendarios."
"¿Qué es la cumbia?","Un género musical popular de México, de origen colombiano, que se caracteriza por su ritmo bailable y su instrumentación de acordeón, guacharaca y caja."
"¿Qué es el danzón?","Un género musical y de baile de origen cubano, que se popularizó en México a principios del siglo XX."
"¿Qué es el bolero?","Un género musical romántico de origen cubano, que se popularizó en México a mediados del siglo XX."
"¿Qué es el rock en español?","Un género musical que surge en la década de 1950 en México y otros países de habla hispana, como una adaptación del rock and roll estadounidense."
"¿Qué es la Guelaguetza?","Una celebración que tiene lugar en la ciudad de Oaxaca de Juárez, en la que se reúnen delegaciones de las 8 regiones del estado para mostrar sus bailes y tradiciones."
"¿Qué es el Día de Muertos?","Una celebración que tiene lugar el 1 y 2 de noviembre, en la que se honra a los difuntos mediante la colocación de ofrendas y la visita a los cementerios."
"¿Qué es la Navidad?","Una celebración que tiene lugar el 25 de diciembre, en la que se conmemora el nacimiento de Jesucristo."
"¿Qué es la Semana Santa?","Una celebración que tiene lugar en la semana previa a la Pascua, en la que se conmemora la pasión, muerte y resurrección de Jesucristo."
"¿Qué es la Candelaria?","Una celebración que tiene lugar el 2 de febrero, en la que se acostumbra a vestir al Niño Dios y a comer tamales."
"¿Qué es el Grito de Dolores?","Una celebración que tiene lugar la noche del 15 de septiembre, en la que se conmemora el inicio de la Independencia de México."
"¿Qué es el Desfile Militar?","Una celebración que tiene lugar el 16 de septiembre, en la que se conmemora la consumación de la Independencia de México."
"¿Qué es la Revolución Mexicana?","Una celebración que tiene lugar el 20 de noviembre, en la que se conmemora el inicio de la Revolución Mexicana."
"¿Qué es la Batalla de Puebla?","Una celebración que tiene lugar el 5 de mayo, en la que se conmemora la victoria del ejército mexicano sobre el ejército francés en 1862."
"¿Qué es el Día de la Bandera?","Una celebración que tiene lugar el 24 de febrero, en la que se honra a la bandera de México."
"¿Qué es el mole?","Un platillo tradicional de México, que se elabora con una gran variedad de chiles, especias y otros ingredientes, y que se sirve con carne de pollo o pavo."
"¿Qué son los tacos?","Un platillo tradicional de México, que consiste en una tortilla de maíz o de harina de trigo rellena de diversos ingredientes, como carne, frijoles, queso, etc."
"¿Qué son los tamales?","Un platillo tradicional de México, que consiste en una masa de maíz rellena de diversos ingredientes, envuelta en hojas de maíz o de plátano y cocida al vapor."
"¿Qué es el pozole?","Un platillo tradicional de México, que consiste en un caldo de granos de maíz cacahuazintle, al que se le agrega carne de cerdo o de pollo y se acompaña con lechuga, rábano, cebolla, orégano y chile."
"¿Qué son los chiles en nogada?","Un platillo tradicional de México, que consiste en un chile poblano relleno de picadillo de carne y frutas, cubierto con una salsa de nuez de castilla y granada, y que se sirve tradicionalmente en los meses de agosto y septiembre."
"¿Qué es el tequila?","Una bebida alcohólica originaria del estado de Jalisco, que se elabora a partir de la fermentación y destilación del agave azul."
"¿Qué es el mezcal?","Una bebida alcohólica originaria del estado de Oaxaca, que se elabora a partir de la fermentación y destilación de diversas especies de agave."
"¿Qué es el pulque?","Una bebida alcohólica de origen prehispánico, que se elabora a partir de la fermentación del aguamiel del maguey."
"¿Qué es el agua de horchata?","Una bebida refrescante que se elabora a partir de arroz, canela y azúcar."
"¿Qué es el agua de jamaica?","Una bebida refrescante que se elabora a partir de la infusión de la flor de jamaica."
"¿Qué es la charrería?","El deporte nacional de México, que consiste en una serie de suertes y destrezas a caballo."
"¿Qué es el fútbol?","El deporte más popular de México."
"¿Qué es la lucha libre?","Un deporte y espectáculo muy popular en México, que se caracteriza por sus luchadores enmascarados y sus acrobacias."
"¿Qué es el boxeo?","Un deporte muy popular en México, que ha dado grandes campeones mundiales."
"¿Qué es el béisbol?","Un deporte muy popular en algunas regiones de México, como el norte y el sureste."
"¿Qué es la tauromaquia?","Un espectáculo que consiste en la lidia de toros bravos, que se celebra en algunas plazas de toros del país."
"¿Qué es el juego de pelota?","Un deporte de origen prehispánico, que se practicaba en diversas culturas de Mesoamérica."
"¿Qué es el ulama?","Un deporte de origen prehispánico, que es una versión moderna del juego de pelota."
"¿Qué es la pelota purépecha?","Un deporte de origen prehispánico, que se practica en el estado de Michoacán."
"¿Qué es el xoloitzcuintle?","Una raza de perro originaria de México, que se caracteriza por su falta de pelo."
"¿Qué es el ajolote?","Un anfibio originario de México, que se caracteriza por su capacidad de regenerar sus extremidades y órganos."
"¿Qué es la mariposa monarca?","Una especie de mariposa que migra cada año desde Canadá y Estados Unidos hasta los bosques de Michoacán y el Estado de México."
"¿Qué es el quetzal?","Un ave de plumaje vistoso que habita en las selvas del sureste de México y Centroamérica."
"¿Qué es el jaguar?","El felino más grande de América, que habita en las selvas y bosques de México."
"¿Qué es el águila real?","El ave que aparece en el escudo nacional de México, y que es un símbolo de fuerza y valentía."
"¿Qué es el nopal?","Una planta de la familia de los cactus, que es un símbolo de México y un ingrediente importante en la gastronomía mexicana."
"¿Qué es el maguey?","Una planta de la familia de los agaves, de la que se extrae el aguamiel para elaborar el pulque."
"¿Qué es el cempasúchil?","Una flor de color amarillo o naranja, que se utiliza tradicionalmente en las ofrendas del Día de Muertos."
"¿Qué es la dalia?","La flor nacional de México."
"¿Qué es el ahuehuete?","El árbol nacional de México."
"¿Qué es la vaquita marina?","Una especie de marsopa en peligro crítico de extinción, que habita en el Golfo de California."
